route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5198_117967,219,5198_24810,Southern Cross,7091,0,5198_7778195_1912002,5198_537
5198_117967,218,5198_24811,Southern Cross,708,0,5198_7778195_1912005,5198_535
5198_117967,216,5198_24812,Southern Cross,17356,0,5198_7778195_1912002,5198_536
5198_117967,217,5198_24813,Southern Cross,25445,0,5198_7778195_1912002,5198_536
5198_117967,218,5198_24814,Southern Cross,674,0,5198_7778195_1912003,5198_535
5198_117967,216,5198_24815,Southern Cross,12855,0,5198_7778195_1912001,5198_536
5198_117967,217,5198_24816,Southern Cross,20944,0,5198_7778195_1912001,5198_536
5198_117967,219,5198_24817,Southern Cross,7067,0,5198_7778195_1912001,5198_537
5198_117967,216,5198_24818,Southern Cross,12906,0,5198_7778195_1912010,5198_535
5198_117967,219,5198_24819,Southern Cross,7145,0,5198_7778195_1912005,5198_536
5198_117900,217,5198_2482,Talbot Street,19931,1,5198_7778195_6130003,5198_52
5198_117967,217,5198_24820,Southern Cross,20995,0,5198_7778195_1912010,5198_535
5198_117967,218,5198_24821,Southern Cross,612,0,5198_7778195_1912007,5198_537
5198_117967,218,5198_24822,Southern Cross,601,0,5198_7778195_1912001,5198_535
5198_117967,217,5198_24823,Southern Cross,20936,0,5198_7778195_1912004,5198_536
5198_117967,216,5198_24824,Southern Cross,12847,0,5198_7778195_1912004,5198_536
5198_117967,219,5198_24825,Southern Cross,7093,0,5198_7778195_1912002,5198_537
5198_117967,219,5198_24826,Southern Cross,7159,0,5198_7778195_1912006,5198_535
5198_117967,218,5198_24827,Southern Cross,710,0,5198_7778195_1912005,5198_536
5198_117967,216,5198_24828,Southern Cross,17358,0,5198_7778195_1912002,5198_537
5198_117967,217,5198_24829,Southern Cross,25447,0,5198_7778195_1912002,5198_537
5198_117900,216,5198_2483,Talbot Street,11842,1,5198_7778195_6130003,5198_52
5198_117967,218,5198_24830,Southern Cross,676,0,5198_7778195_1912003,5198_535
5198_117967,216,5198_24831,Southern Cross,12857,0,5198_7778195_1912001,5198_536
5198_117967,217,5198_24832,Southern Cross,20946,0,5198_7778195_1912001,5198_536
5198_117967,219,5198_24833,Southern Cross,7069,0,5198_7778195_1912001,5198_537
5198_117967,216,5198_24834,Southern Cross,12908,0,5198_7778195_1912010,5198_535
5198_117967,219,5198_24835,Southern Cross,7147,0,5198_7778195_1912005,5198_536
5198_117967,217,5198_24836,Southern Cross,20997,0,5198_7778195_1912010,5198_535
5198_117967,218,5198_24837,Southern Cross,614,0,5198_7778195_1912007,5198_537
5198_117967,218,5198_24838,Southern Cross,603,0,5198_7778195_1912001,5198_535
5198_117967,217,5198_24839,Southern Cross,20938,0,5198_7778195_1912004,5198_536
5198_117900,218,5198_2484,Talbot Street,1131,1,5198_7778195_6130001,5198_52
5198_117967,216,5198_24840,Southern Cross,12849,0,5198_7778195_1912004,5198_536
5198_117967,219,5198_24841,Southern Cross,7095,0,5198_7778195_1912002,5198_537
5198_117967,219,5198_24842,Southern Cross,7161,0,5198_7778195_1912006,5198_535
5198_117967,218,5198_24843,Southern Cross,712,0,5198_7778195_1912005,5198_536
5198_117967,216,5198_24844,Southern Cross,17360,0,5198_7778195_1912002,5198_537
5198_117967,217,5198_24845,Southern Cross,25449,0,5198_7778195_1912002,5198_537
5198_117967,218,5198_24846,Southern Cross,678,0,5198_7778195_1912003,5198_535
5198_117967,216,5198_24847,Southern Cross,12859,0,5198_7778195_1912001,5198_536
5198_117967,217,5198_24848,Southern Cross,20948,0,5198_7778195_1912001,5198_536
5198_117967,219,5198_24849,Southern Cross,7054,0,5198_7778195_1912007,5198_537
5198_117900,216,5198_2485,Talbot Street,12245,1,5198_7778195_6130006,5198_52
5198_117967,219,5198_24850,Southern Cross,7149,0,5198_7778195_1912005,5198_535
5198_117967,218,5198_24851,Southern Cross,616,0,5198_7778195_1912007,5198_536
5198_117967,216,5198_24852,Southern Cross,12955,0,5198_7778195_1912015,5198_537
5198_117967,217,5198_24853,Southern Cross,21044,0,5198_7778195_1912015,5198_537
5198_117967,218,5198_24854,Southern Cross,605,0,5198_7778195_1912001,5198_535
5198_117967,216,5198_24855,Southern Cross,12966,0,5198_7778195_1912017,5198_536
5198_117967,217,5198_24856,Southern Cross,21055,0,5198_7778195_1912017,5198_536
5198_117967,219,5198_24857,Southern Cross,7097,0,5198_7778195_1912002,5198_537
5198_117967,219,5198_24858,Southern Cross,7163,0,5198_7778195_1912006,5198_535
5198_117967,218,5198_24859,Southern Cross,714,0,5198_7778195_1912005,5198_536
5198_117900,217,5198_2486,Talbot Street,20334,1,5198_7778195_6130006,5198_52
5198_117967,216,5198_24860,Southern Cross,17362,0,5198_7778195_1912002,5198_537
5198_117967,217,5198_24861,Southern Cross,25451,0,5198_7778195_1912002,5198_537
5198_117967,218,5198_24862,Southern Cross,680,0,5198_7778195_1912003,5198_535
5198_117967,216,5198_24863,Southern Cross,12861,0,5198_7778195_1912001,5198_536
5198_117967,217,5198_24864,Southern Cross,20950,0,5198_7778195_1912001,5198_536
5198_117967,219,5198_24865,Southern Cross,7056,0,5198_7778195_1912007,5198_537
5198_117967,219,5198_24866,Southern Cross,7151,0,5198_7778195_1912005,5198_535
5198_117967,218,5198_24867,Southern Cross,618,0,5198_7778195_1912007,5198_536
5198_117967,216,5198_24868,Southern Cross,12957,0,5198_7778195_1912015,5198_537
5198_117967,217,5198_24869,Southern Cross,21046,0,5198_7778195_1912015,5198_537
5198_117900,218,5198_2487,Talbot Street,1255,1,5198_7778195_6130004,5198_52
5198_117967,218,5198_24870,Southern Cross,607,0,5198_7778195_1912001,5198_535
5198_117967,216,5198_24871,Southern Cross,12968,0,5198_7778195_1912017,5198_536
5198_117967,217,5198_24872,Southern Cross,21057,0,5198_7778195_1912017,5198_536
5198_117967,219,5198_24873,Southern Cross,7099,0,5198_7778195_1912002,5198_537
5198_117967,219,5198_24874,Southern Cross,7165,0,5198_7778195_1912006,5198_535
5198_117967,217,5198_24875,Southern Cross,21066,0,5198_7778195_1912021,5198_536
5198_117967,218,5198_24876,Southern Cross,716,0,5198_7778195_1912005,5198_537
5198_117967,216,5198_24877,Southern Cross,12977,0,5198_7778195_1912021,5198_536
